,KC Fed Model-Based Natural Rate of Interest,,,KC Fed Model-Based Natural Unemployment Rate,,
Date,Point Estimate,Lower (68%),Upper (68%),Point Estimate,Lower (68%),Upper (68%)
"2009-12-01","-0.536320204","-2.268951749","0.5630585","5.955229","5.094483"," 6.989270"
"2010-01-01","-0.495454444","-2.275651044","0.6133024","5.872945","4.999750"," 6.894744"
"2010-02-01","-0.473015249","-2.255017877","0.6382603","5.829788","4.961157"," 6.836537"
"2010-03-01","-0.492401786","-2.211840428","0.5973795","5.864970","5.011702"," 6.856844"
"2010-04-01","-0.482218347","-2.136317062","0.5923332","5.869788","5.034688"," 6.836876"
"2010-05-01","-0.321400782","-1.850573933","0.6992848","5.776059","4.993166"," 6.666770"
"2010-06-01","-0.246492988","-1.835278561","0.7913566","5.652988","4.861984"," 6.533192"
"2010-07-01","-0.221152315","-1.754725536","0.7937287","5.648641","4.875875"," 6.510838"
"2010-08-01","-0.298659581","-1.837541295","0.7267984","5.697388","4.911766"," 6.574347"
"2010-09-01","-0.311745772","-1.778836139","0.6928222","5.733687","4.965153"," 6.595943"
"2010-10-01","-0.297216876","-1.732168108","0.7006158","5.720691","4.962113"," 6.565167"
"2010-11-01","-0.414410211","-1.689202667","0.5553133","5.953206","5.219724"," 6.816580"
"2010-12-01","-0.256212309","-1.595379578","0.7145199","5.723320","4.996545"," 6.538659"
"2011-01-01","-0.182222691","-1.595514475","0.7990685","5.598450","4.858379"," 6.402300"
"2011-02-01","-0.152781053","-1.594824977","0.8400681","5.540458","4.789607"," 6.340527"
"2011-03-01","-0.182913049","-1.699978215","0.8308745","5.507354","4.733510"," 6.332648"
"2011-04-01","-0.269994509","-1.812846545","0.7562154","5.561592","4.767478"," 6.410372"
"2011-05-01","-0.306143360","-1.991256832","0.7613473","5.511727","4.672235"," 6.400696"
"2011-06-01","-0.355281397","-1.999866681","0.7065220","5.552901","4.722113"," 6.433433"
"2011-07-01","-0.341014674","-2.068219745","0.7494357","5.477106","4.616442"," 6.367441"
"2011-08-01","-0.355381999","-2.141954260","0.7593855","5.440959","4.560913"," 6.344481"
"2011-09-01","-0.350309904","-2.108648569","0.7617136","5.418815","4.545333"," 6.306950"
"2011-10-01","-0.251005549","-2.029953330","0.8667226","5.311184","4.432795"," 6.180872"
"2011-11-01","-0.145662865","-1.882290885","0.9580048","5.233492","4.379552"," 6.070465"
"2011-12-01","-0.119055255","-1.933506457","1.0074891","5.168795","4.292496"," 6.013093"
"2012-01-01","-0.108880951","-2.191314943","1.1231279","5.033147","4.069373"," 5.943542"
"2012-02-01","-0.086349916","-2.018252388","1.0872128","5.070032","4.163503"," 5.933526"
"2012-03-01","-0.088143774","-2.001468285","1.0819479","5.061735","4.160886"," 5.914606"
"2012-04-01","-0.130025566","-2.037887633","1.0386140","5.072383","4.171173"," 5.934103"
"2012-05-01","-0.131443834","-1.922793829","0.9994707","5.105654","4.244433"," 5.930347"
"2012-06-01","-0.136441780","-1.845675842","0.9617809","5.128753","4.295669"," 5.931386"
"2012-07-01","-0.197884488","-1.986731455","0.9318230","5.102253","4.245731"," 5.929327"
"2012-08-01","-0.181860701","-2.002919797","0.9696418","5.048286","4.173807"," 5.874071"
"2012-09-01","-0.032068477","-1.824546157","1.1145127","4.934069","4.070738"," 5.733451"
"2012-10-01","-0.114858039","-2.101457732","1.1007403","4.889504","3.968845"," 5.742481"
"2012-11-01","-0.157304667","-2.295813101","1.1274002","4.812184","3.825315"," 5.704229"
"2012-12-01","-0.207249827","-2.100409813","0.9752024","4.946450","4.048407"," 5.779648"
"2013-01-01","-0.310075072","-2.182236795","0.8533922","5.018439","4.131633"," 5.854514"
"2013-02-01","-0.132163893","-1.878919608","0.9913555","4.949860","4.118348"," 5.723011"
"2013-03-01","-0.108709733","-2.032988748","1.0905207","4.810420","3.912580"," 5.615911"
"2013-04-01","-0.128315698","-1.912563369","1.0267432","4.858467","4.007926"," 5.640727"
"2013-05-01","-0.172664158","-2.062225849","1.0309997","4.799084","3.902395"," 5.604912"
"2013-06-01","-0.252208071","-2.238096314","0.9886503","4.786625","3.852184"," 5.613289"
"2013-07-01","-0.225748547","-2.303944659","1.0660549","4.686958","3.715538"," 5.540309"
"2013-08-01","-0.210280899","-2.347404850","1.1011856","4.626435","3.623606"," 5.486159"
"2013-09-01","-0.262035987","-2.433481084","1.0702182","4.602583","3.577636"," 5.481041"
"2013-10-01","-0.265961295","-2.411569566","1.0465362","4.612258","3.596227"," 5.477192"
"2013-11-01","-0.103843452","-2.197199949","1.2117364","4.513708","3.500756"," 5.356020"
"2013-12-01","-0.089983353","-2.307276586","1.3046762","4.394492","3.311423"," 5.271547"
"2014-01-01","-0.134117267","-2.503473085","1.3301071","4.310428","3.160793"," 5.236128"
"2014-02-01","-0.102541139","-2.227115907","1.2497818","4.403663","3.352847"," 5.258009"
"2014-03-01","-0.181479523","-2.344069419","1.1718549","4.414643","3.348240"," 5.275185"
"2014-04-01","-0.054134709","-2.433233577","1.4368404","4.182289","2.989849"," 5.100874"
"2014-05-01","-0.185135852","-2.647479657","1.3555115","4.160997","2.919451"," 5.120569"
"2014-06-01","-0.067134969","-2.483871720","1.4719723","4.080249","2.830870"," 5.032281"
"2014-07-01","-0.083185504","-2.378748028","1.3916309","4.139710","2.927236"," 5.059288"
"2014-08-01","-0.050518055","-2.295653132","1.4114867","4.110519","2.905006"," 5.023969"
"2014-09-01","-0.003658020","-2.300820619","1.5098622","4.011541","2.756842"," 4.940822"
"2014-10-01"," 0.105088111","-2.196656212","1.6474697","3.907798","2.630243"," 4.850486"
"2014-11-01"," 0.106404776","-2.052415686","1.5704896","3.971505","2.764737"," 4.871689"
"2014-12-01"," 0.208909424","-1.908664618","1.6831537","3.929002","2.727546"," 4.813413"
"2015-01-01"," 0.103224244","-1.970237881","1.5388718","3.981523","2.809773"," 4.858284"
"2015-02-01"," 0.115689141","-2.005768476","1.5932178","3.915398","2.716322"," 4.812764"
"2015-03-01"," 0.051695094","-2.212195196","1.5949702","3.843284","2.574763"," 4.781054"
"2015-04-01"," 0.079483262","-2.127377906","1.6042820","3.865645","2.635559"," 4.778007"
"2015-05-01"," 0.015981548","-2.048836847","1.4489217","3.981149","2.836938"," 4.854624"
"2015-06-01"," 0.125729999","-1.973236609","1.5967278","3.882629","2.711345"," 4.763978"
"2015-07-01"," 0.085223539","-2.085808027","1.5984041","3.825206","2.611017"," 4.726670"
"2015-08-01"," 0.139950270","-2.005864680","1.6517599","3.807440","2.610687"," 4.694366"
"2015-09-01","-0.003759025","-2.373688564","1.6051228","3.718505","2.432240"," 4.666798"
"2015-10-01"," 0.032091000","-2.247764551","1.5988051","3.746623","2.511235"," 4.671929"
"2015-11-01","-0.067173701","-2.350679329","1.4746561","3.812567","2.608778"," 4.725648"
"2015-12-01"," 0.086910037","-2.013046087","1.5621492","3.841649","2.712518"," 4.703233"
"2016-01-01"," 0.089852797","-2.121596891","1.6247694","3.772373","2.602385"," 4.657258"
"2016-02-01","-0.138961538","-2.545338465","1.4468590","3.760135","2.534779"," 4.693267"
"2016-03-01","-0.166919074","-2.512294103","1.3806675","3.804873","2.616191"," 4.724493"
"2016-04-01","-0.133514491","-2.354534349","1.3513692","3.873548","2.736900"," 4.756964"
"2016-05-01"," 0.026547986","-2.176395671","1.5524986","3.754629","2.590707"," 4.643333"
"2016-06-01","-0.002952506","-2.159653773","1.4993975","3.770448","2.619693"," 4.650706"
"2016-07-01"," 0.065915019","-2.077605048","1.5733645","3.713861","2.551734"," 4.598386"
"2016-08-01"," 0.049598163","-2.095205254","1.5280974","3.730012","2.585095"," 4.614091"
"2016-09-01"," 0.066360651","-2.010291702","1.4976995","3.745791","2.616803"," 4.624645"
"2016-10-01"," 0.259958282","-1.697097770","1.6587775","3.702959","2.594681"," 4.558570"
"2016-11-01"," 0.426302308","-1.538629264","1.8685742","3.569793","2.411529"," 4.445293"
"2016-12-01"," 0.664965242","-1.065021692","2.0211981","3.629580","2.553206"," 4.436513"
"2017-01-01"," 0.710904275","-1.018803811","2.0494505","3.623591","2.549046"," 4.430023"
"2017-02-01"," 0.841343768","-0.854241793","2.1807014","3.581116","2.497542"," 4.386933"
"2017-03-01"," 1.096215602","-0.456572531","2.4150360","3.572506","2.543709"," 4.340310"
"2017-04-01"," 1.117126724","-0.376565737","2.3954896","3.625832","2.633046"," 4.370711"
"2017-05-01"," 1.137973513","-0.307179639","2.3855680","3.668202","2.711072"," 4.391485"
"2017-06-01"," 1.187719139","-0.246084388","2.4395276","3.670631","2.727547"," 4.385563"
"2017-07-01"," 1.143604268","-0.282831743","2.3874790","3.694662","2.766553"," 4.401900"
"2017-08-01"," 1.021191346","-0.413481879","2.2263475","3.746710","2.837346"," 4.447959"
"2017-09-01"," 1.042006249","-0.405291496","2.2661966","3.712614","2.790488"," 4.423668"
"2017-10-01"," 1.041755931","-0.482857850","2.2919601","3.650001","2.679782"," 4.386760"
"2017-11-01"," 1.077290996","-0.423703406","2.3234623","3.650559","2.682752"," 4.377926"
"2017-12-01"," 1.164881232","-0.320782179","2.4192078","3.634176","2.667422"," 4.361657"
"2018-01-01"," 1.214790025","-0.302398742","2.4965255","3.619345","2.643243"," 4.361222"
"2018-02-01"," 1.200745268","-0.250561743","2.4517397","3.694577","2.758709"," 4.412695"
"2018-03-01"," 1.227510133","-0.253850234","2.5057595","3.677634","2.721194"," 4.403890"
"2018-04-01"," 1.160694104","-0.391227401","2.4382200","3.650521","2.666213"," 4.395233"
"2018-05-01"," 1.264838168","-0.311074809","2.5832760","3.587770","2.570543"," 4.345689"
"2018-06-01"," 1.221029332","-0.298231433","2.4845591","3.675888","2.706627"," 4.410416"
"2018-07-01"," 1.331475202","-0.192048610","2.6305828","3.626979","2.635223"," 4.367387"
"2018-08-01"," 1.284748249","-0.296973030","2.6010604","3.595219","2.577262"," 4.355172"
"2018-09-01"," 1.339785429","-0.273411957","2.6765456","3.582433","2.547805"," 4.342924"
"2018-10-01"," 1.414761924","-0.044108164","2.7074278","3.721885","2.781351"," 4.426370"
"2018-11-01"," 1.382429514","-0.105565690","2.6729272","3.751205","2.814675"," 4.455809"
"2018-12-01"," 1.255741913","-0.322174798","2.5313641","3.775266","2.833107"," 4.488794"
"2019-01-01"," 1.275739269","-0.213054790","2.5066165","3.872741","2.991669"," 4.552391"
"2019-02-01"," 1.402988567","-0.065880129","2.6836223","3.851797","2.972060"," 4.531721"
"2019-03-01"," 1.367927351","-0.168605862","2.6634080","3.844693","2.948405"," 4.531153"
"2019-04-01"," 1.353440301","-0.279558045","2.6920938","3.817528","2.891873"," 4.522459"
"2019-05-01"," 1.314344506","-0.476469024","2.6998550","3.760758","2.782707"," 4.493598"
"2019-06-01"," 1.254121551","-0.617742285","2.6629735","3.781246","2.787628"," 4.521041"
"2019-07-01"," 1.138251840","-0.834288456","2.5423029","3.829846","2.847714"," 4.570884"
"2019-08-01"," 0.943758687","-1.450486693","2.4414518","3.717039","2.600192"," 4.539008"
"2019-09-01"," 0.907645385","-1.678744982","2.4739462","3.652033","2.464183"," 4.516643"
"2019-10-01"," 0.848461513","-1.837321688","2.4220936","3.681099","2.489470"," 4.555040"
"2019-11-01"," 0.779477208","-2.169886470","2.4098155","3.649027","2.396289"," 4.566643"
"2019-12-01"," 0.895692085","-1.854793554","2.4865896","3.716610","2.540189"," 4.584584"
"2020-01-01"," 0.939865358","-1.778604030","2.5186635","3.747714","2.594257"," 4.605259"
"2020-02-01"," 0.993369527","-1.803723883","2.5966008","3.725248","2.554033"," 4.593081"
"2020-03-01"," 0.160618417","-3.756873759","1.9375298","3.786770","2.371909"," 4.856794"
"2020-04-01","-2.735348182","-7.006977510","0.4822248","7.751156","6.105421","10.234788"
"2020-05-01","-2.293047988","-6.132433838","0.8843185","7.648675","6.093132"," 9.995562"
"2020-06-01","-1.360838585","-4.121362559","0.8355865","6.678395","5.548169"," 8.288343"
"2020-07-01","-0.816634146","-3.045141659","0.8304310","6.014816","5.111616"," 7.192803"
"2020-08-01","-0.039845124","-2.114458385","1.2052384","4.941105","4.129762"," 5.712459"
"2020-09-01"," 0.360246830","-1.826110473","1.6446805","4.528167","3.638340"," 5.261528"
"2020-10-01"," 0.479158727","-1.925011457","1.8114759","4.321631","3.372030"," 5.063611"
"2020-11-01"," 0.479043914","-1.833666869","1.7633232","4.356666","3.462620"," 5.080429"
"2020-12-01"," 0.339960340","-2.098203908","1.6251859","4.427926","3.525277"," 5.180102"
"2021-01-01"," 0.400434966","-2.033344266","1.6741142","4.418136","3.513645"," 5.173065"
"2021-02-01"," 0.423241441","-2.079357137","1.7244769","4.372703","3.439278"," 5.138074"
"2021-03-01"," 0.435164842","-2.106739928","1.7544364","4.374509","3.416635"," 5.157757"
"2021-04-01"," 0.274836897","-2.727937132","1.7390654","4.312998","3.185963"," 5.213352"
"2021-05-01"," 0.176273664","-3.523278104","1.8728871","4.083787","2.688205"," 5.131912"
"2021-06-01"," 0.251753647","-3.239808536","1.8826757","4.131158","2.781814"," 5.151885"
"2021-07-01"," 0.493531040","-2.954267257","2.1416028","3.968855","2.587945"," 4.982595"
"2021-08-01"," 0.741844655","-2.467259301","2.3499141","3.891894","2.551244"," 4.853980"
"2021-09-01"," 0.929509993","-2.284521182","2.5738425","3.750871","2.368693"," 4.717363"
"2021-10-01"," 0.969134672","-2.386005385","2.6820984","3.673835","2.226130"," 4.674732"
"2021-11-01"," 1.064394788","-2.525159399","2.8818515","3.526421","1.966591"," 4.595256"
"2021-12-01"," 1.123797292","-2.488957861","3.0004928","3.470908","1.854499"," 4.579620"
"2022-01-01"," 1.185654121","-2.111550988","2.9617686","3.565848","2.045664"," 4.627442"
"2022-02-01"," 1.324504956","-1.609072951","3.0180014","3.599671","2.166096"," 4.615628"
"2022-03-01"," 1.501261322","-1.189002896","3.1675175","3.568625","2.170184"," 4.556837"
"2022-04-01"," 1.655570758","-0.672413295","3.2271163","3.638217","2.347347"," 4.558155"
"2022-05-01"," 1.881536766"," 0.038642183","3.3515583","3.749957","2.640220"," 4.567112"
"2022-06-01"," 1.913233554"," 0.266662479","3.3633549","3.853752","2.832206"," 4.639336"
"2022-07-01"," 1.994864077"," 0.479594467","3.3971859","3.886891","2.933268"," 4.623709"
"2022-08-01"," 1.966018117"," 0.588570396","3.3522575","4.038601","3.157197"," 4.750000"
"2022-09-01"," 1.933965425"," 0.488902851","3.2812115","4.012426","3.111097"," 4.727431"
"2022-10-01"," 1.924670038"," 0.555756121","3.2247936","4.081251","3.229699"," 4.764193"
"2022-11-01"," 2.029854210"," 0.836965002","3.3463525","4.184984","3.419760"," 4.835552"
"2022-12-01"," 2.050027149"," 0.889669459","3.3673482","4.193533","3.444090"," 4.835455"
"2023-01-01"," 2.034207545"," 0.871933597","3.3796656","4.234771","3.484310"," 4.883066"
"2023-02-01"," 1.971255032"," 0.836291000","3.2738956","4.281875","3.561902"," 4.910271"
"2023-03-01"," 1.965780728"," 0.796322957","3.2412719","4.252365","3.527104"," 4.874515"
"2023-04-01"," 1.985586857"," 0.815809387","3.2779746","4.249559","3.516389"," 4.874643"
"2023-05-01"," 1.908073301"," 0.775951194","3.1630347","4.333995","3.640322"," 4.940410"
"2023-06-01"," 1.872810364"," 0.720715939","3.0784594","4.328232","3.639087"," 4.926143"
"2023-07-01"," 1.977065374"," 0.863828332","3.2328456","4.326984","3.649806"," 4.918247"
"2023-08-01"," 1.891165590"," 0.801504626","3.0888734","4.393121","3.749844"," 4.957721"
"2023-09-01"," 1.917687481"," 0.862031179","3.1831479","4.437103","3.796443"," 5.011100"
"2023-10-01"," 1.847721644"," 0.810624799","3.0721372","4.495077","3.880785"," 5.052419"
"2023-11-01"," 1.905405816"," 0.832697895","3.1524262","4.441630","3.804009"," 5.005500"
"2023-12-01"," 1.854904857"," 0.777605147","3.0770500","4.471458","3.842415"," 5.031900"
"2024-01-01"," 1.845377952"," 0.728448449","3.1404446","4.477715","3.820000"," 5.071721"
"2024-02-01"," 1.811880463"," 0.726713207","3.1505503","4.545959","3.905313"," 5.144250"
"2024-03-01"," 1.760258237"," 0.647857452","3.1070707","4.566412","3.917817"," 5.174199"
"2024-04-01"," 1.742044287"," 0.623350921","3.0773692","4.574476","3.930673"," 5.176958"
"2024-05-01"," 1.768174804"," 0.671887516","3.0996800","4.569668","3.936577"," 5.158773"
"2024-06-01"," 1.697108308"," 0.612096374","3.0173712","4.631134","4.017085"," 5.215474"
"2024-07-01"," 1.656869751"," 0.572349209","2.9386099","4.651470","4.057546"," 5.222927"
"2024-08-01"," 1.610622081"," 0.471573500","2.8308539","4.633952","4.040955"," 5.198236"
"2024-09-01"," 1.525051434"," 0.189141068","2.6685924","4.576002","3.948220"," 5.155370"
"2024-10-01"," 1.478430303"," 0.019208874","2.6180271","4.561850","3.906970"," 5.162055"
"2024-11-01"," 1.415076587","-0.169361777","2.5319514","4.559972","3.895569"," 5.168775"
"2024-12-01"," 1.402625948","-0.326350601","2.5425527","4.520855","3.817752"," 5.154326"
"2025-01-01"," 1.398997000","-0.466504212","2.5759770","4.495110","3.754447"," 5.158506"
"2025-02-01"," 1.458024105","-0.067620740","2.6718204","4.597513","3.915764"," 5.237420"
"2025-03-01"," 1.450287796","-0.111283636","2.6282660","4.581572","3.907697"," 5.205787"
"2025-04-01"," 1.501882487"," 0.059006487","2.7112312","4.598428","3.946550"," 5.209305"
"2025-05-01"," 1.419990147","-0.074553922","2.6111415","4.636342","3.986771"," 5.251054"
"2025-06-01"," 1.380000816","-0.418245042","2.5775797","4.562774","3.844499"," 5.218776"
"2025-07-01"," 1.344580904","-0.416322585","2.5349633","4.605738","3.909532"," 5.252606"
"2025-08-01"," 1.315149215","-0.514023775","2.5033044","4.609226","3.905896"," 5.265155"
"2025-09-01"," 1.233690626","-0.763690378","2.4064735","4.627611","3.904992"," 5.308993"
"2025-10-01"," 1.221695479","-0.850055426","2.4013692","4.623976","3.892380"," 5.319849"
"2025-11-01"," 1.165055793","-1.022055026","2.3448767","4.636566","3.889646"," 5.347604"
"2025-12-01"," 1.093586259","-1.562227548","2.3467736","4.586508","3.737288"," 5.384124"
"2026-01-01"," 1.104786476","-1.768492131","2.4185872","4.555424","3.640340"," 5.406430"
"2026-02-01"," 1.126628410","-1.595430444","2.4428227","4.591387","3.696558"," 5.431532"
"2026-03-01"," 1.236667198","-1.224927620","2.5599191","4.581455","3.710910"," 5.386215"
"2026-04-01"," 1.133671270","-1.782737697","2.4811451","4.563144","3.621604"," 5.431556"
